cbo,wmc,dit
0,1,1
0,1,1
0,1,1
1,1,1
1,1,1
1,1,1
2,1,1
1,1,1
2,1,1
0,1,1
16,40,2
2,1,1
0,1,1
2,1,1
2,1,1
1,1,1
1,1,1
0,1,1
0,1,1
2,2,2
1,1,1
11,19,2
7,8,2
3,1,2
0,4,1
9,3,2
5,2,3
0,1,1
0,1,1
2,1,1
4,10,2
3,1,1
0,1,1
2,1,1
0,2,1
3,1,1
3,1,1
6,5,2
0,3,1
2,1,1
9,29,3
4,5,1
5,8,2
1,1,1
9,33,4
3,1,1
11,28,4
4,11,4
5,8,2
4,5,2
12,46,7
0,1,1
0,1,1
0,1,1
1,1,1
1,1,1
2,1,1
8,2,4
2,1,1
1,1,1
0,1,1
6,9,2
0,1,1
0,1,1
0,2,1
0,2,1
0,1,1
0,1,1
0,1,1
0,1,1
1,1,1
0,1,1
2,1,1
0,2,1
17,21,2
1,2,1
0,1,1
1,3,1
1,3,1
3,1,1
0,3,1
1,1,1
1,2,1
1,3,1
7,2,2
9,4,3
7,2,4
0,1,1
1,3,1
0,1,1
0,1,1
1,2,1
0,1,1
6,9,2
0,1,1
1,2,1
0,1,1
7,3,7
8,2,3
2,1,1
10,9,2
0,1,1
3,1,1
2,2,1
3,1,1
7,8,1
7,12,4
10,22,3
13,19,7
1,1,1
1,1,1
0,5,1
7,2,6
2,1,1
3,5,1
9,3,2
0,1,1
5,5,2
9,2,6
4,6,2
2,1,1
2,4,1
3,1,1
2,1,1
1,2,1
0,1,1
1,2,1
8,52,1
1,1,1
1,1,1
0,1,1
1,1,1
0,1,1
1,1,1
1,1,1
1,1,1
0,1,1
1,4,1
2,1,1
0,1,1
1,5,1
0,1,1
1,2,1
0,1,1
15,43,2
0,1,1
3,1,1
0,2,1
0,2,1
0,2,1
0,2,1
7,3,3
0,1,1
1,1,1
0,1,1
3,18,3
0,1,1
2,2,1
2,3,1
2,1,1
13,28,2
1,1,1
0,1,1
2,1,1
0,1,1
0,1,1
2,2,1
14,33,2
0,1,1
1,1,1
1,1,1
2,4,1
2,1,1
2,1,1
2,5,1
1,1,1
1,4,1
0,1,1
8,7,5
1,4,1
0,2,1
1,1,1
16,55,2
4,11,2
0,2,1
0,2,1
7,17,2
1,1,1
0,4,1
0,4,1
0,0,1
2,4,1
2,4,1
1,1,1
5,1,1
0,3,1
0,1,1
0,2,1
0,1,1
1,2,1
5,1,1
1,2,1
0,2,1
5,1,1
0,1,1
1,1,1
5,1,1
5,1,1
2,1,1
1,1,1
3,1,1
2,1,1
1,1,1
1,2,1
0,1,1
0,1,1
0,1,1
0,1,1
4,1,1
1,1,1
0,1,1
0,1,1
4,1,1
1,1,1
0,1,1
3,1,1
1,1,1
4,5,2
0,1,1
1,1,1
1,2,1
1,2,1
0,1,1
0,1,1
0,2,1
1,1,1
3,6,1
10,14,2
44,286,6
1,3,1
1,1,1
4,10,1
2,2,1
2,1,1
3,4,1
2,1,1
9,17,2
1,1,1
2,1,1
4,1,1
2,1,1
0,2,1
0,1,1
2,1,1
6,1,1
0,2,1
2,2,1
0,1,1
0,2,1
1,2,1
0,1,1
4,1,1
0,1,1
0,1,1
1,3,1
0,1,1
0,1,1
0,1,1
4,1,1
2,1,1
0,2,1
9,16,2
0,2,1
3,1,1
4,5,1
6,6,2
3,1,1
8,2,4
4,5,1
2,1,1
3,1,1
1,2,1
7,11,2
2,1,1
1,1,1
2,7,3
0,4,1
1,4,1
1,1,1
5,1,1
5,1,1
4,7,3
5,1,1
0,1,1
1,3,1
5,1,1
1,1,1
5,6,2
1,1,1
0,1,1
10,18,2
6,1,1
6,2,2
7,2,2
0,1,1
0,2,1
0,1,1
1,1,1
0,1,1
3,1,1
0,2,1
2,1,1
2,1,1
0,1,1
2,1,1
2,1,1
0,1,1
1,1,1
2,1,1
11,12,2
0,3,1
1,1,1
0,2,1
6,4,1
1,1,1
1,2,1
0,1,1
7,9,2
0,1,1
0,2,1
2,1,1
10,7,2
0,2,1
9,17,4
0,2,1
1,2,1
2,1,1
2,1,1
3,2,1
1,2,1
0,1,1
2,1,1
2,1,1
4,9,3
2,1,1
2,1,1
2,1,1
0,2,1
1,1,1
1,1,1
2,1,1
2,1,1
2,1,1
2,1,1
3,1,1
0,1,1
0,1,1
1,1,1
2,1,1
0,1,1
1,1,1
9,35,2
1,1,1
1,1,1
1,1,1
1,2,1
17,50,3
1,1,1
0,1,1
1,1,1
6,15,2
1,1,1
1,1,1
1,1,1
0,1,1
1,1,1
4,6,1
1,1,1
1,1,1
0,2,1
0,1,1
6,7,1
0,1,1
3,1,1
1,1,1
0,3,1
1,1,1
8,20,1
1,1,1
2,1,1
1,1,1
2,1,1
2,1,1
3,1,1
1,1,1
1,1,1
3,5,2
5,4,1
6,2,3
1,1,1
3,2,3
8,2,4
3,5,1
0,1,1
12,7,4
0,1,1
0,1,1
2,2,2
1,1,1
10,16,1
1,1,1
0,1,1
1,1,1
1,1,1
1,1,1
0,1,1
0,1,1
1,1,1
1,1,1
1,1,1
1,1,1
11,42,4
3,2,1
2,3,3
1,1,1
0,1,1
3,5,2
0,1,1
1,2,1
1,1,1
1,2,1
18,51,3
10,43,3
1,1,1
1,1,1
1,1,1
4,5,1
0,1,1
1,1,1
1,1,1
1,1,1
7,28,1
0,1,1
1,1,1
0,1,1
8,10,2
2,1,1
0,1,1
2,1,1
2,1,1
0,1,1
1,1,1
2,1,1
1,1,1
1,1,1
6,3,2
1,1,1
0,1,1
0,1,1
0,1,1
0,1,1
4,1,1
0,1,1
0,1,1
2,4,1
0,1,1
1,1,1
1,1,1
0,1,1
0,1,1
1,1,1
3,1,1
2,1,1
0,1,1
2,1,1
1,3,1
2,1,1
2,1,1
1,1,1
0,1,1
4,4,1
1,3,1
0,2,1
4,1,1
1,1,1
0,1,1
0,1,1
5,2,1
0,1,1
0,1,1
6,35,3
0,1,1
4,9,1
0,1,1
5,38,2
0,1,1
0,1,1
0,1,1
0,1,1
1,6,1
7,7,2
4,1,2
0,1,1
0,1,1
0,2,1
0,2,1
0,1,1
14,2,5
2,1,1
0,1,1
14,18,2
0,1,1
1,1,1
1,3,4
3,1,1
6,9,2
7,8,3
